Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egz
Vardas149           Pavarde149          10   5    5    2    6    4    2    1    2    3    1    
Vardas150           Pavarde150          5    4    5    7    3    10   9    3    3    4    3    
Vardas151           Pavarde151          8    4    6    2    4    4    3    4    4    3    3    
Vardas152           Pavarde152          4    3    3    7    5    10   3    2    1    4    9    
Vardas153           Pavarde153          4    4    2    3    3    3    6    2    4    4    1    
Vardas154           Pavarde154          4    1    1    6    4    7    4    10   6    9    9    
Vardas155           Pavarde155          3    9    3    10   10   1    6    4    7    1    7    
Vardas156           Pavarde156          6    3    10   2    2    4    2    7    8    3    3    
Vardas157           Pavarde157          2    3    7    7    5    8    5    4    7    6    6    
Vardas158           Pavarde158          10   1    1    1    2    9    7    9    5    3    5    
Vardas159           Pavarde159          9    8    2    10   2    4    6    4    9    5    4    
Vardas160           Pavarde160          1    7    3    8    9    3    9    6    9    4    6    
Vardas161           Pavarde161          1    2    7    6    2    4    3    7    9    7    2    
Vardas162           Pavarde162          2    10   7    10   9    5    6    3    4    9    6    
Vardas163           Pavarde163          2    5    5    7    1    4    2    9    10   10   8    
Vardas164           Pavarde164          1    1    9    1    9    3    10   3    1    8    6    
Vardas165           Pavarde165          9    3    5    5    10   1    4    1    4    4    5    
Vardas166           Pavarde166          4    4    4    6    6    10   9    8    10   8    8    
Vardas167           Pavarde167          9    2    6    9    8    6    8    7    7    6    8    
Vardas168           Pavarde168          3    7    10   10   8    10   4    2    3    4    9    
Vardas169           Pavarde169          2    8    1    3    1    5    5    6    4    10   6    
Vardas170           Pavarde170          5    7    3    4    2    9    4    9    7    8    4    
Vardas171           Pavarde171          10   1    2    9    2    7    1    9    9    6    7    
Vardas172           Pavarde172          4    5    7    6    4    10   1    4    2    4    7    
Vardas173           Pavarde173          5    4    3    2    9    1    3    9    1    5    8    
Vardas174           Pavarde174          10   2    3    8    3    8    8    8    5    4    8    
Vardas175           Pavarde175          10   8    8    7    1    6    7    1    8    8    10   
Vardas176           Pavarde176          9    3    8    1    6    5    4    10   6    5    3    
Vardas177           Pavarde177          3    3    6    7    9    2    5    8    7    8    3    
Vardas178           Pavarde178          8    2    8    10   5    6    9    4    8    8    4    
Vardas179           Pavarde179          10   1    8    6    4    9    8    5    7    3    9    
Vardas180           Pavarde180          4    6    8    1    8    5    1    9    4    10   8    
Vardas181           Pavarde181          1    6    8    8    10   4    3    8    7    9    5    
Vardas182           Pavarde182          5    9    10   2    3    4    1    5    5    3    8    
Vardas183           Pavarde183          10   8    2    3    7    6    7    5    3    1    3    
Vardas184           Pavarde184          6    1    7    2    1    9    10   8    3    6    7    
Vardas185           Pavarde185          4    5    4    2    3    3    7    5    1    1    3    
Vardas186           Pavarde186          5    1    8    5    3    6    2    10   9    1    4    
Vardas187           Pavarde187          4    6    10   3    9    3    7    7    8    9    2    
Vardas188           Pavarde188          1    10   4    2    3    4    9    8    2    3    5    
Vardas189           Pavarde189          3    3    2    1    1    10   7    8    9    2    5    
Vardas190           Pavarde190          7    3    8    3    1    1    5    4    5    2    2    
Vardas191           Pavarde191          8    9    2    2    3    1    7    6    1    4    1    
Vardas192           Pavarde192          7    2    1    9    9    4    5    3    1    1    6    
Vardas193           Pavarde193          3    9    6    4    2    8    8    6    9    9    5    
Vardas194           Pavarde194          1    7    5    2    9    8    3    6    1    6    8    
Vardas195           Pavarde195          9    9    5    7    9    10   4    10   4    4    3    
Vardas196           Pavarde196          9    4    5    1    9    2    10   10   5    1    10   
Vardas197           Pavarde197          6    6    3    6    8    6    2    4    7    7    3    
Vardas198           Pavarde198          9    1    1    6    9    1    2    4    6    5    4    
Vardas199           Pavarde199          5    8    5    8    8    5    8    7    3    8    3    
Vardas200           Pavarde200          2    10   3    5    2    5    7    5    7    4    10   
Vardas201           Pavarde201          6    2    10   5    10   6    8    7    6    5    5    
Vardas202           Pavarde202          5    7    4    10   4    2    7    5    9    5    6    
Vardas203           Pavarde203          5    6    4    7    6    10   10   10   4    8    5    
Vardas204           Pavarde204          4    5    6    1    6    8    1    3    1    8    7    
Vardas205           Pavarde205          10   4    1    3    10   7    2    9    8    2    7    
Vardas206           Pavarde206          1    3    4    4    2    5    9    2    9    7    6    
Vardas207           Pavarde207          7    8    3    10   3    1    6    2    5    10   7    
Vardas208           Pavarde208          2    10   4    7    7    6    2    9    3    10   5    
Vardas209           Pavarde209          5    6    1    1    9    2    4    4    3    5    6    
Vardas210           Pavarde210          6    8    9    9    9    2    1    2    6    7    7    
Vardas211           Pavarde211          5    6    3    7    5    1    5    4    5    8    1    
Vardas212           Pavarde212          1    10   7    9    4    5    9    6    7    10   7    
Vardas213           Pavarde213          3    10   7    3    3    3    8    2    4    2    1    
Vardas214           Pavarde214          3    9    5    8    5    8    5    2    8    8    5    
Vardas215           Pavarde215          3    7    8    2    4    2    9    3    1    5    5    
Vardas216           Pavarde216          7    9    4    8    8    7    10   3    1    8    10   
Vardas217           Pavarde217          5    3    2    6    3    6    6    2    5    7    6    
Vardas218           Pavarde218          2    9    8    7    4    6    4    3    6    7    1    
Vardas219           Pavarde219          7    4    7    6    2    3    4    10   4    5    9    
Vardas220           Pavarde220          9    3    4    4    4    5    2    5    6    5    2    
Vardas221           Pavarde221          5    7    8    1    4    10   9    6    4    7    3    
Vardas222           Pavarde222          5    5    2    7    1    5    4    1    6    7    3    
Vardas223           Pavarde223          10   2    6    4    9    4    3    5    10   7    2    
Vardas224           Pavarde224          4    5    4    4    6    7    5    9    5    9    9    
Vardas225           Pavarde225          3    1    2    6    1    4    9    6    8    6    1    
Vardas226           Pavarde226          10   9    1    3    7    5    1    7    6    5    9    
Vardas227           Pavarde227          4    5    5    5    5    2    3    6    8    5    4    
Vardas228           Pavarde228          6    2    3    9    5    7    7    6    5    5    2    
Vardas229           Pavarde229          8    2    7    7    4    10   10   3    6    5    10   
Vardas230           Pavarde230          8    4    1    8    4    10   5    9    10   3    8    
Vardas231           Pavarde231          5    2    3    7    5    10   7    9    8    8    10   
Vardas232           Pavarde232          5    6    5    7    6    3    8    7    7    7    8    
Vardas233           Pavarde233          6    4    2    9    5    10   4    4    6    3    6    
Vardas234           Pavarde234          5    5    10   6    1    4    6    3    1    9    10   
Vardas235           Pavarde235          9    9    1    2    8    1    3    3    5    3    2    
Vardas236           Pavarde236          9    7    3    2    10   8    3    4    7    5    9    
Vardas237           Pavarde237          10   2    5    2    1    2    5    4    7    8    2    
Vardas238           Pavarde238          7    3    7    4    5    3    5    6    7    1    3    
Vardas239           Pavarde239          7    7    5    9    9    7    9    3    9    5    10   
Vardas240           Pavarde240          7    4    4    7    4    2    3    1    2    4    10   
Vardas241           Pavarde241          4    9    5    1    1    6    6    7    2    1    7    
Vardas242           Pavarde242          7    5    10   9    1    4    6    2    6    4    7    
Vardas243           Pavarde243          5    5    7    3    3    8    7    10   10   10   1    
Vardas244           Pavarde244          3    3    3    5    3    3    8    5    9    7    3    
Vardas245           Pavarde245          7    4    8    10   7    10   2    1    1    6    2    
Vardas246           Pavarde246          5    7    8    8    5    10   3    9    8    2    10   
Vardas247           Pavarde247          8    3    6    5    7    1    3    1    1    2    7    
Vardas248           Pavarde248          3    10   9    1    6    9    7    2    6    9    3    
Vardas249           Pavarde249          9    7    8    5    9    4    6    6    2    4    4    
Vardas250           Pavarde250          5    2    5    8    6    5    1    6    8    5    10   
Vardas251           Pavarde251          4    7    1    7    1    5    6    9    3    1    10   
Vardas252           Pavarde252          4    7    7    3    5    7    6    7    2    2    10   
Vardas253           Pavarde253          10   5    10   7    6    3    6    3    10   9    10   
Vardas254           Pavarde254          7    7    5    3    10   6    4    3    5    8    7    
Vardas255           Pavarde255          3    5    7    6    1    3    3    1    7    1    7    
Vardas256           Pavarde256          5    5    8    9    1    9    6    4    5    3    10   
Vardas257           Pavarde257          2    3    6    3    1    8    9    8    8    2    8    
Vardas258           Pavarde258          1    4    10   4    7    1    5    9    7    10   8    
Vardas259           Pavarde259          4    1    9    3    7    1    6    7    5    3    4    
Vardas260           Pavarde260          5    8    2    7    6    4    9    7    1    2    3    
Vardas261           Pavarde261          5    8    10   4    6    7    5    7    10   3    5    
Vardas262           Pavarde262          9    7    9    2    1    7    1    7    1    8    2    
Vardas263           Pavarde263          4    9    7    6    6    2    8    10   5    6    9    
Vardas264           Pavarde264          1    9    5    9    5    5    10   4    8    6    4    
Vardas265           Pavarde265          5    3    5    4    10   8    1    10   8    5    4    
Vardas266           Pavarde266          10   2    5    5    3    6    1    9    6    8    4    
Vardas267           Pavarde267          7    6    9    10   1    7    3    4    9    6    6    
Vardas268           Pavarde268          9    1    6    10   5    3    8    3    6    6    6    
Vardas269           Pavarde269          7    7    3    2    10   10   7    9    5    3    4    
Vardas270           Pavarde270          1    10   3    7    5    2    10   4    1    2    7    
Vardas271           Pavarde271          8    4    8    8    8    10   10   4    4    8    3    
Vardas272           Pavarde272          8    10   3    7    6    1    4    5    10   2    3    
Vardas273           Pavarde273          5    2    7    9    9    2    6    10   3    9    1    
Vardas274           Pavarde274          6    9    2    3    6    6    8    8    6    1    2    
Vardas275           Pavarde275          5    3    2    6    9    4    7    6    9    10   7    
Vardas276           Pavarde276          6    7    5    5    7    8    6    4    10   2    5    
Vardas277           Pavarde277          1    8    8    10   4    10   7    4    10   2    8    
Vardas278           Pavarde278          1    1    9    9    9    2    10   1    3    10   3    
Vardas279           Pavarde279          6    9    6    6    2    4    4    5    7    3    3    
Vardas280           Pavarde280          8    4    1    2    6    3    10   7    2    10   5    
Vardas281           Pavarde281          7    3    9    7    1    9    5    10   2    2    2    
Vardas282           Pavarde282          8    6    3    9    7    9    6    6    4    7    9    
Vardas283           Pavarde283          5    1    7    6    5    7    4    6    10   1    10   
Vardas284           Pavarde284          4    9    6    1    3    9    5    6    8    8    10   
Vardas285           Pavarde285          8    10   5    6    9    4    5    9    3    3    9    
Vardas286           Pavarde286          1    5    8    4    5    2    3    8    10   8    1    
Vardas287           Pavarde287          3    2    9    6    1    7    9    2    7    9    1    
Vardas288           Pavarde288          10   6    4    7    8    7    6    4    9    8    7    
Vardas289           Pavarde289          6    1    8    10   9    10   4    10   7    9    3    
Vardas290           Pavarde290          3    7    10   5    10   1    2    9    4    5    2    
Vardas291           Pavarde291          8    10   7    2    4    3    7    2    4    5    3    
Vardas292           Pavarde292          4    3    1    3    5    6    1    7    5    7    3    
Vardas293           Pavarde293          4    9    1    4    6    10   4    5    1    3    3    
Vardas294           Pavarde294          5    8    1    5    9    10   4    1    4    1    2    
Vardas295           Pavarde295          1    1    5    7    4    10   1    9    10   6    8    
Vardas296           Pavarde296          1    6    10   7    2    8    5    7    8    1    3    
Vardas297           Pavarde297          5    5    2    2    5    2    3    2    1    4    6    
Vardas298           Pavarde298          6    6    1    9    8    4    5    10   6    5    5    
Vardas299           Pavarde299          3    1    2    8    1    6    3    7    5    8    3    
Vardas300           Pavarde300          7    6    4    7    8    7    5    10   10   9    8    
Vardas301           Pavarde301          4    3    6    8    3    9    9    9    4    8    2    
Vardas302           Pavarde302          1    10   2    10   6    10   4    7    9    7    2    
Vardas303           Pavarde303          9    6    8    9    1    6    6    2    5    1    4    
Vardas304           Pavarde304          3    7    6    8    7    7    6    10   1    10   2    
Vardas305           Pavarde305          2    3    1    2    9    4    6    2    2    4    1    
Vardas306           Pavarde306          4    9    10   4    1    1    6    8    6    8    10   
Vardas307           Pavarde307          3    6    10   3    8    8    5    8    1    8    5    
Vardas308           Pavarde308          8    5    8    9    4    7    7    7    6    3    1    
Vardas309           Pavarde309          1    1    9    8    2    1    7    2    7    3    8    
Vardas310           Pavarde310          6    8    1    7    7    6    8    1    1    4    4    
Vardas311           Pavarde311          8    8    9    8    8    1    8    1    4    9    5    
Vardas312           Pavarde312          7    8    10   3    8    8    4    9    9    4    10   
Vardas313           Pavarde313          9    7    7    1    3    5    10   6    7    9    7    
Vardas314           Pavarde314          5    1    9    3    6    10   5    4    8    10   3    
Vardas315           Pavarde315          7    6    7    2    1    1    9    5    1    8    2    
Vardas316           Pavarde316          9    2    3    7    9    8    8    7    7    2    1    
Vardas317           Pavarde317          5    2    9    9    5    7    6    9    1    9    10   
Vardas318           Pavarde318          2    5    7    8    5    6    9    1    2    3    6    
Vardas319           Pavarde319          5    5    2    8    7    1    8    7    8    10   2    
Vardas320           Pavarde320          9    3    2    3    7    10   6    7    4    5    6    
Vardas321           Pavarde321          8    5    5    10   3    1    9    4    8    7    4    
Vardas322           Pavarde322          1    7    7    1    7    5    4    1    1    4    3    
Vardas323           Pavarde323          9    1    1    2    2    8    4    7    3    6    5    
Vardas324           Pavarde324          9    3    8    7    6    1    10   2    5    3    9    
Vardas325           Pavarde325          7    10   3    5    6    3    10   8    8    6    4    
Vardas326           Pavarde326          9    4    7    8    9    7    10   2    8    6    6    
Vardas327           Pavarde327          8    9    2    3    4    8    7    8    4    4    6    
Vardas328           Pavarde328          7    1    1    6    2    5    6    3    9    4    6    
Vardas329           Pavarde329          2    2    4    3    10   6    6    10   10   10   9    
Vardas330           Pavarde330          10   7    6    7    6    10   10   9    9    8    9    
Vardas331           Pavarde331          5    7    4    5    7    9    6    1    1    3    3    
Vardas332           Pavarde332          2    10   1    7    7    9    2    4    6    9    8    
Vardas333           Pavarde333          6    4    10   4    8    10   6    6    6    9    9    
Vardas334           Pavarde334          2    9    8    6    3    4    8    7    2    8    9    
Vardas335           Pavarde335          6    9    7    2    5    2    1    3    2    6    1    
Vardas336           Pavarde336          6    7    7    6    5    1    1    2    5    1    2    
Vardas337           Pavarde337          8    5    10   5    1    5    2    3    5    6    4    
Vardas338           Pavarde338          9    7    4    2    10   9    4    6    6    9    6    
Vardas339           Pavarde339          10   8    1    10   1    6    5    8    7    1    1    
Vardas340           Pavarde340          2    9    9    2    3    2    7    1    2    1    4    
Vardas341           Pavarde341          1    7    8    4    4    3    1    6    1    7    3    
Vardas342           Pavarde342          5    4    9    10   4    8    1    7    10   9    9    
Vardas343           Pavarde343          9    2    1    10   3    10   10   10   7    10   3    
Vardas344           Pavarde344          6    3    5    6    6    7    1    4    2    5    8    
Vardas345           Pavarde345          3    8    7    2    6    6    4    4    5    10   10   
Vardas346           Pavarde346          2    9    6    3    10   10   8    2    1    2    7    
Vardas347           Pavarde347          1    10   9    6    7    1    7    7    4    4    5    
Vardas348           Pavarde348          3    5    4    2    5    5    4    8    9    10   3    
Vardas349           Pavarde349          10   7    1    3    5    6    10   2    2    9    1    
Vardas350           Pavarde350          5    6    2    2    6    2    3    9    1    4    10   
Vardas351           Pavarde351          2    6    9    9    2    1    4    5    6    6    3    
Vardas352           Pavarde352          4    5    10   5    8    9    9    2    5    1    4    
Vardas353           Pavarde353          2    5    10   3    7    10   2    1    10   3    4    
Vardas354           Pavarde354          2    4    2    2    10   5    3    4    7    7    7    
Vardas355           Pavarde355          10   6    9    6    1    7    7    4    9    2    5    
Vardas356           Pavarde356          7    8    4    7    1    4    2    2    8    4    7    
Vardas357           Pavarde357          4    6    9    6    3    2    6    10   3    6    9    
Vardas358           Pavarde358          1    10   10   8    2    2    8    7    1    8    5    
Vardas359           Pavarde359          2    6    4    1    3    1    1    5    9    1    1    
Vardas360           Pavarde360          7    7    10   6    8    4    10   6    10   8    5    
Vardas361           Pavarde361          6    1    9    10   10   1    9    1    9    9    4    
Vardas362           Pavarde362          1    1    2    3    1    10   2    5    6    10   4    
Vardas363           Pavarde363          10   1    7    10   2    4    6    9    3    8    2    
Vardas364           Pavarde364          2    2    8    4    6    5    2    8    10   8    9    
Vardas365           Pavarde365          9    3    3    4    8    6    5    9    4    3    6    
Vardas366           Pavarde366          7    4    8    10   5    6    10   3    5    8    10   
Vardas367           Pavarde367          2    2    9    2    7    1    9    3    10   9    8    
Vardas368           Pavarde368          4    1    2    1    6    7    9    2    1    4    8    
Vardas369           Pavarde369          6    4    2    1    3    8    8    3    2    5    3    
Vardas370           Pavarde370          1    1    8    10   5    4    6    3    3    8    2    
Vardas371           Pavarde371          6    9    3    7    5    4    7    1    10   8    8    
Vardas372           Pavarde372          10   8    4    10   5    9    6    10   10   10   1    
Vardas373           Pavarde373          5    2    10   2    2    10   5    4    8    4    4    
Vardas374           Pavarde374          6    10   5    3    10   6    6    1    10   7    1    
Vardas375           Pavarde375          5    6    10   2    10   8    8    5    4    8    5    
Vardas376           Pavarde376          5    2    10   3    5    1    2    4    5    8    7    
Vardas377           Pavarde377          1    8    7    5    2    2    6    3    8    9    9    
Vardas378           Pavarde378          9    6    8    4    7    3    6    9    3    5    10   
Vardas379           Pavarde379          8    7    2    4    6    9    5    1    2    6    2    
Vardas380           Pavarde380          7    1    7    8    7    1    1    6    10   3    5    
Vardas381           Pavarde381          9    10   9    8    5    7    8    4    8    1    7    
Vardas382           Pavarde382          4    6    8    2    8    4    6    6    6    9    1    
Vardas383           Pavarde383          9    6    3    7    4    2    2    3    4    8    10   
Vardas384           Pavarde384          10   3    9    2    5    3    1    1    10   10   6    
Vardas385           Pavarde385          9    3    1    9    9    8    4    10   8    1    8    
