Vardas              Pavarde             Galutinis
Pavarde274          Vardas274           3.2
Pavarde278          Vardas278           3.8
Pavarde279          Vardas279           3.8
Pavarde281          Vardas281           3.2
Pavarde286          Vardas286           2.6
Pavarde287          Vardas287           2.6
Pavarde289          Vardas289           4.6
Pavarde290          Vardas290           3.2
Pavarde291          Vardas291           3.8
Pavarde292          Vardas292           3.4
Pavarde293          Vardas293           3.4
Pavarde294          Vardas294           2.8
Pavarde296          Vardas296           3.8
Pavarde297          Vardas297           4.8
Pavarde299          Vardas299           3.4
Pavarde301          Vardas301           3.6
Pavarde302          Vardas302           3.6
Pavarde303          Vardas303           4.4
Pavarde304          Vardas304           3.6
Pavarde305          Vardas305           1.8
Pavarde308          Vardas308           3
Pavarde310          Vardas310           4
Pavarde314          Vardas314           4.2
Pavarde315          Vardas315           2.8
Pavarde316          Vardas316           3
Pavarde319          Vardas319           3.6
Pavarde321          Vardas321           4.8
Pavarde322          Vardas322           3
Pavarde323          Vardas323           4.6
Pavarde325          Vardas325           4.8
Pavarde331          Vardas331           3.4
Pavarde335          Vardas335           2.2
Pavarde336          Vardas336           2.8
Pavarde337          Vardas337           4.4
Pavarde339          Vardas339           2.6
Pavarde340          Vardas340           3.6
Pavarde341          Vardas341           3.4
Pavarde343          Vardas343           4.6
Pavarde348          Vardas348           3.8
Pavarde349          Vardas349           2.6
Pavarde351          Vardas351           3.8
Pavarde352          Vardas352           4.4
Pavarde353          Vardas353           4.4
Pavarde359          Vardas359           1.8
Pavarde361          Vardas361           4.8
Pavarde362          Vardas362           4
Pavarde363          Vardas363           3.6
Pavarde369          Vardas369           3.4
Pavarde370          Vardas370           2.8
Pavarde372          Vardas372           3.8
Pavarde373          Vardas373           4.4
Pavarde374          Vardas374           3
Pavarde379          Vardas379           3.2
Pavarde382          Vardas382           2.6
Pavarde389          Vardas389           4.6
Pavarde390          Vardas390           3.2
Pavarde392          Vardas392           4.4
Pavarde393          Vardas393           3.2
Pavarde394          Vardas394           3.8
Pavarde395          Vardas395           2.8
Pavarde396          Vardas396           2.6
Pavarde397          Vardas397           2.2
Pavarde401          Vardas401           2.8
Pavarde403          Vardas403           2.2
Pavarde404          Vardas404           4.2
Pavarde405          Vardas405           4
Pavarde407          Vardas407           2.8
Pavarde410          Vardas410           4
Pavarde411          Vardas411           2.6
Pavarde412          Vardas412           2.6
Pavarde414          Vardas414           3.8
Pavarde415          Vardas415           3.8
Pavarde416          Vardas416           2.2
Pavarde417          Vardas417           3.8
Pavarde418          Vardas418           4.8
Pavarde421          Vardas421           4.6
Pavarde422          Vardas422           4.8
Pavarde425          Vardas425           4.4
Pavarde426          Vardas426           4.4
Pavarde428          Vardas428           3.8
Pavarde429          Vardas429           4.6
Pavarde435          Vardas435           2.8
Pavarde436          Vardas436           3.6
Pavarde438          Vardas438           2.6
Pavarde439          Vardas439           4.8
Pavarde441          Vardas441           3.4
Pavarde442          Vardas442           2.6
Pavarde443          Vardas443           3.4
Pavarde448          Vardas448           4.8
Pavarde449          Vardas449           4.4
Pavarde450          Vardas450           2.8
Pavarde451          Vardas451           3.6
Pavarde452          Vardas452           4
Pavarde454          Vardas454           4.6
Pavarde455          Vardas455           3.4
Pavarde457          Vardas457           4.8
Pavarde458          Vardas458           3.8
Pavarde460          Vardas460           2.6
Pavarde463          Vardas463           3
Pavarde466          Vardas466           1.4
Pavarde467          Vardas467           4.4
Pavarde469          Vardas469           3.2
Pavarde472          Vardas472           4.8
Pavarde474          Vardas474           2.6
Pavarde475          Vardas475           2.8
Pavarde476          Vardas476           3
Pavarde477          Vardas477           2.6
Pavarde478          Vardas478           4
Pavarde479          Vardas479           3.6
Pavarde481          Vardas481           4
Pavarde482          Vardas482           3
Pavarde483          Vardas483           2.8
Pavarde485          Vardas485           4.6
Pavarde487          Vardas487           3.2
Pavarde493          Vardas493           2.8
Pavarde496          Vardas496           2.6
Pavarde500          Vardas500           4.4
Pavarde501          Vardas501           4.6
Pavarde502          Vardas502           3.2
Pavarde503          Vardas503           3
Pavarde504          Vardas504           2.6
Pavarde505          Vardas505           4.6
Pavarde506          Vardas506           2.4
Pavarde510          Vardas510           4.8
Pavarde512          Vardas512           2.8
Pavarde518          Vardas518           4.6
Pavarde520          Vardas520           4.2
Pavarde524          Vardas524           2.2
Pavarde526          Vardas526           4.8
Pavarde530          Vardas530           2.6
Pavarde532          Vardas532           2.6
Pavarde535          Vardas535           3.2
Pavarde538          Vardas538           4.6
Pavarde540          Vardas540           4.4
Pavarde541          Vardas541           3.2
Pavarde542          Vardas542           2.2
Pavarde543          Vardas543           3.2
Pavarde544          Vardas544           4.4
Pavarde545          Vardas545           3.6
Pavarde546          Vardas546           3.4
Pavarde549          Vardas549           3
Pavarde551          Vardas551           3.4
Pavarde552          Vardas552           3.4
Pavarde553          Vardas553           2.8
Pavarde554          Vardas554           3
Pavarde557          Vardas557           2.6
Pavarde558          Vardas558           2.6
Pavarde559          Vardas559           2.6
Pavarde560          Vardas560           2.6
Pavarde563          Vardas563           3.2
Pavarde565          Vardas565           3.2
Pavarde566          Vardas566           2.6
Pavarde569          Vardas569           4
Pavarde582          Vardas582           4.8
Pavarde584          Vardas584           4.8
Pavarde585          Vardas585           3.2
Pavarde599          Vardas599           3.4
Pavarde600          Vardas600           3.6
Pavarde602          Vardas602           2.6
Pavarde603          Vardas603           4.4
Pavarde604          Vardas604           4.4
Pavarde607          Vardas607           4.2
Pavarde608          Vardas608           4.4
Pavarde609          Vardas609           4
Pavarde611          Vardas611           4.8
Pavarde612          Vardas612           2.2
Pavarde613          Vardas613           3.6
Pavarde614          Vardas614           3
Pavarde615          Vardas615           3
Pavarde617          Vardas617           3
Pavarde619          Vardas619           4
Pavarde625          Vardas625           4
Pavarde626          Vardas626           2.2
Pavarde629          Vardas629           4
Pavarde630          Vardas630           4.2
Pavarde634          Vardas634           4.8
Pavarde635          Vardas635           4
Pavarde636          Vardas636           4.4
Pavarde638          Vardas638           3
Pavarde640          Vardas640           2.6
Pavarde641          Vardas641           3.2
Pavarde642          Vardas642           4.4
Pavarde645          Vardas645           3.2
Pavarde646          Vardas646           2.2
Pavarde653          Vardas653           2.2
Pavarde657          Vardas657           2.6
Pavarde658          Vardas658           2.6
Pavarde659          Vardas659           4.4
Pavarde661          Vardas661           3.2
Pavarde662          Vardas662           4.4
Pavarde664          Vardas664           4.8
Pavarde665          Vardas665           4.2
Pavarde668          Vardas668           4
Pavarde669          Vardas669           4
Pavarde670          Vardas670           2.2
Pavarde671          Vardas671           2.8
Pavarde675          Vardas675           1.8
Pavarde676          Vardas676           3.2
Pavarde677          Vardas677           3.4
Pavarde680          Vardas680           4
Pavarde683          Vardas683           3.2
Pavarde689          Vardas689           2.6
Pavarde690          Vardas690           3.4
Pavarde693          Vardas693           3
Pavarde696          Vardas696           1.8
Pavarde697          Vardas697           2.2
Pavarde698          Vardas698           3
Pavarde700          Vardas700           4.4
Pavarde701          Vardas701           2.8
Pavarde702          Vardas702           4
Pavarde703          Vardas703           4.4
Pavarde705          Vardas705           4.6
Pavarde708          Vardas708           3
Pavarde713          Vardas713           4
Pavarde714          Vardas714           2.2
Pavarde721          Vardas721           2.2
Pavarde722          Vardas722           2.6
Pavarde725          Vardas725           3.8
Pavarde727          Vardas727           4.4
Pavarde729          Vardas729           3.4
Pavarde730          Vardas730           4.2
Pavarde733          Vardas733           3
Pavarde738          Vardas738           3.2
Pavarde742          Vardas742           2.6
Pavarde746          Vardas746           4.4
Pavarde748          Vardas748           3.6
Pavarde751          Vardas751           4.8
Pavarde752          Vardas752           2.8
Pavarde756          Vardas756           3
Pavarde757          Vardas757           2.6
Pavarde758          Vardas758           4.8
Pavarde759          Vardas759           2.6
Pavarde761          Vardas761           2.8
Pavarde764          Vardas764           4.4
Pavarde766          Vardas766           3.2
Pavarde767          Vardas767           4
Pavarde769          Vardas769           4.6
Pavarde773          Vardas773           4.4
Pavarde778          Vardas778           2.6
Pavarde782          Vardas782           4.6
Pavarde784          Vardas784           4.4
Pavarde785          Vardas785           4.8
Pavarde787          Vardas787           4.6
Pavarde792          Vardas792           3
Pavarde796          Vardas796           2.8
Pavarde797          Vardas797           3
Pavarde802          Vardas802           3.8
Pavarde805          Vardas805           3
Pavarde809          Vardas809           4.8
Pavarde810          Vardas810           2.8
Pavarde814          Vardas814           4.2
Pavarde815          Vardas815           2.8
Pavarde816          Vardas816           2.6
Pavarde818          Vardas818           4.4
Pavarde819          Vardas819           3.8
Pavarde821          Vardas821           2.2
Pavarde823          Vardas823           4.8
Pavarde825          Vardas825           3.6
Pavarde826          Vardas826           3.2
Pavarde831          Vardas831           3.4
Pavarde832          Vardas832           3.8
Pavarde836          Vardas836           2.6
Pavarde838          Vardas838           3.8
Pavarde844          Vardas844           3.2
Pavarde845          Vardas845           3.2
Pavarde848          Vardas848           2.2
Pavarde855          Vardas855           3.4
Pavarde858          Vardas858           4.6
Pavarde859          Vardas859           3.2
Pavarde860          Vardas860           4.6
Pavarde863          Vardas863           4.2
Pavarde867          Vardas867           3.6
Pavarde868          Vardas868           2.2
Pavarde871          Vardas871           2.2
Pavarde873          Vardas873           3.2
Pavarde874          Vardas874           4.8
Pavarde876          Vardas876           2.8
Pavarde878          Vardas878           3.4
Pavarde880          Vardas880           2.8
Pavarde883          Vardas883           3.4
Pavarde884          Vardas884           2.6
Pavarde885          Vardas885           2.6
Pavarde886          Vardas886           3.4
Pavarde887          Vardas887           3.2
Pavarde889          Vardas889           2.8
Pavarde890          Vardas890           3.6
Pavarde892          Vardas892           3.2
Pavarde897          Vardas897           3.4
Pavarde898          Vardas898           4.4
Pavarde905          Vardas905           4.4
Pavarde907          Vardas907           4.6
Pavarde911          Vardas911           3.6
Pavarde912          Vardas912           3.2
Pavarde913          Vardas913           2.6
Pavarde915          Vardas915           3.6
Pavarde917          Vardas917           3.6
Pavarde920          Vardas920           4.4
Pavarde923          Vardas923           4.8
Pavarde924          Vardas924           3.6
Pavarde928          Vardas928           3.4
Pavarde930          Vardas930           4.6
Pavarde931          Vardas931           2.2
Pavarde937          Vardas937           3.2
Pavarde939          Vardas939           4.6
Pavarde942          Vardas942           3.2
Pavarde943          Vardas943           4
Pavarde944          Vardas944           3.8
Pavarde950          Vardas950           2.2
Pavarde951          Vardas951           1.8
Pavarde955          Vardas955           2.2
Pavarde956          Vardas956           3.8
Pavarde959          Vardas959           4.4
Pavarde962          Vardas962           4.4
Pavarde963          Vardas963           3.4
Pavarde964          Vardas964           4.8
Pavarde965          Vardas965           3.6
Pavarde969          Vardas969           1.8
Pavarde970          Vardas970           2.8
Pavarde971          Vardas971           2.8
Pavarde972          Vardas972           2.6
Pavarde976          Vardas976           2.2
Pavarde980          Vardas980           3.4
Pavarde982          Vardas982           3.2
Pavarde984          Vardas984           4.4
Pavarde985          Vardas985           3.2
Pavarde990          Vardas990           3.8
Pavarde992          Vardas992           3.8
Pavarde993          Vardas993           2.8
Pavarde995          Vardas995           4.6
Pavarde996          Vardas996           2.6
Pavarde997          Vardas997           3.8
Pavarde999          Vardas999           3
Pavarde1001         Vardas1001          4.6
Pavarde1002         Vardas1002          3
Pavarde1004         Vardas1004          3.6
Pavarde1007         Vardas1007          3
Pavarde1013         Vardas1013          4.4
Pavarde1018         Vardas1018          3.4
Pavarde1021         Vardas1021          2.6
Pavarde1022         Vardas1022          3.6
Pavarde1027         Vardas1027          4.4
Pavarde1030         Vardas1030          4
Pavarde1031         Vardas1031          2.6
Pavarde1033         Vardas1033          2.6
Pavarde1035         Vardas1035          4.4
Pavarde1036         Vardas1036          4.2
Pavarde1037         Vardas1037          4.8
Pavarde1038         Vardas1038          4
Pavarde1042         Vardas1042          4.8
Pavarde1047         Vardas1047          3.4
Pavarde1049         Vardas1049          2.6
Pavarde1052         Vardas1052          4
Pavarde1054         Vardas1054          4
Pavarde1058         Vardas1058          3.2
Pavarde1065         Vardas1065          4
Pavarde1067         Vardas1067          3.4
Pavarde1069         Vardas1069          3.8
Pavarde1071         Vardas1071          2.2
Pavarde1072         Vardas1072          2.6
Pavarde1074         Vardas1074          4.6
Pavarde1075         Vardas1075          3.2
Pavarde1078         Vardas1078          2.6
Pavarde1079         Vardas1079          3.4
Pavarde1083         Vardas1083          3.8
Pavarde1085         Vardas1085          4.6
Pavarde1087         Vardas1087          2.6
Pavarde1088         Vardas1088          2.2
Pavarde1089         Vardas1089          3.2
Pavarde1091         Vardas1091          3.8
Pavarde1097         Vardas1097          3
Pavarde1098         Vardas1098          3.4
Pavarde1099         Vardas1099          2.6
Pavarde1100         Vardas1100          3.6
Pavarde1103         Vardas1103          4.4
Pavarde1105         Vardas1105          3.4
Pavarde1106         Vardas1106          3.8
Pavarde1107         Vardas1107          3.4
Pavarde1109         Vardas1109          3
Pavarde1112         Vardas1112          4
Pavarde1113         Vardas1113          2.6
Pavarde1117         Vardas1117          2.8
Pavarde1118         Vardas1118          3.2
Pavarde1122         Vardas1122          3.4
Pavarde1126         Vardas1126          4.6
Pavarde1132         Vardas1132          3.2
Pavarde1133         Vardas1133          1.8
Pavarde1134         Vardas1134          3
Pavarde1137         Vardas1137          4.8
Pavarde1141         Vardas1141          3.2
Pavarde1145         Vardas1145          2.6
Pavarde1151         Vardas1151          2.8
Pavarde1153         Vardas1153          4.2
Pavarde1154         Vardas1154          2.4
Pavarde1155         Vardas1155          2.6
Pavarde1156         Vardas1156          4.8
Pavarde1158         Vardas1158          2.8
Pavarde1159         Vardas1159          4.4
Pavarde1160         Vardas1160          4.4
Pavarde1165         Vardas1165          4
Pavarde1172         Vardas1172          2.2
Pavarde1174         Vardas1174          3.8
Pavarde1175         Vardas1175          3.2
Pavarde1176         Vardas1176          4.4
Pavarde1177         Vardas1177          3.8
Pavarde1178         Vardas1178          4
Pavarde1181         Vardas1181          3.8
Pavarde1182         Vardas1182          4.6
Pavarde1183         Vardas1183          3.6
Pavarde1184         Vardas1184          4.8
Pavarde1185         Vardas1185          3.6
Pavarde1187         Vardas1187          4
Pavarde1190         Vardas1190          4.2
Pavarde1191         Vardas1191          3.4
Pavarde1193         Vardas1193          4.6
Pavarde1194         Vardas1194          3.2
Pavarde1197         Vardas1197          4
Pavarde1198         Vardas1198          2.6
Pavarde1202         Vardas1202          3.4
Pavarde1203         Vardas1203          3.8
Pavarde1204         Vardas1204          4
Pavarde1205         Vardas1205          4.2
Pavarde1206         Vardas1206          4.4
Pavarde1208         Vardas1208          3
Pavarde1209         Vardas1209          3.2
Pavarde1210         Vardas1210          4.2
Pavarde1212         Vardas1212          3.6
Pavarde1216         Vardas1216          3.2
Pavarde1220         Vardas1220          3.6
Pavarde1223         Vardas1223          4
Pavarde1228         Vardas1228          3
Pavarde1229         Vardas1229          3
Pavarde1233         Vardas1233          3.4
Pavarde1237         Vardas1237          3.6
Pavarde1240         Vardas1240          2.8
Pavarde1243         Vardas1243          4.4
Pavarde1245         Vardas1245          3
Pavarde1247         Vardas1247          3.6
Pavarde1258         Vardas1258          3.2
Pavarde1262         Vardas1262          3.4
Pavarde1265         Vardas1265          4.6
Pavarde1266         Vardas1266          3.6
Pavarde1268         Vardas1268          3
Pavarde1280         Vardas1280          3.6
Pavarde1281         Vardas1281          4.8
Pavarde1282         Vardas1282          3.2
Pavarde1283         Vardas1283          4.8
Pavarde1285         Vardas1285          4.2
Pavarde1286         Vardas1286          2.2
Pavarde1287         Vardas1287          2.8
Pavarde1288         Vardas1288          2.2
Pavarde1289         Vardas1289          4.4
Pavarde1291         Vardas1291          3.4
Pavarde1294         Vardas1294          4.2
Pavarde1301         Vardas1301          4.2
Pavarde1303         Vardas1303          3.6
Pavarde1304         Vardas1304          4
Pavarde1305         Vardas1305          3.8
Pavarde1306         Vardas1306          4.4
Pavarde1308         Vardas1308          3.2
Pavarde1312         Vardas1312          4.2
Pavarde1313         Vardas1313          4.2
Pavarde1317         Vardas1317          4.6
Pavarde1318         Vardas1318          4.4
Pavarde1319         Vardas1319          2.2
Pavarde1320         Vardas1320          4.6
Pavarde1322         Vardas1322          3.2
Pavarde1325         Vardas1325          3.2
Pavarde1327         Vardas1327          3.8
Pavarde1330         Vardas1330          3.8
Pavarde1333         Vardas1333          2.6
Pavarde1336         Vardas1336          4.4
Pavarde1340         Vardas1340          1.8
Pavarde1342         Vardas1342          3.8
Pavarde1345         Vardas1345          2.2
Pavarde1347         Vardas1347          4
Pavarde1354         Vardas1354          4.2
Pavarde1357         Vardas1357          3
Pavarde1358         Vardas1358          3.4
Pavarde1359         Vardas1359          2.2
Pavarde1361         Vardas1361          3.8
Pavarde1362         Vardas1362          4.2
Pavarde1368         Vardas1368          4
Pavarde1374         Vardas1374          3
Pavarde1382         Vardas1382          4.8
Pavarde1385         Vardas1385          2.8
Pavarde1389         Vardas1389          3.8
Pavarde1391         Vardas1391          4.4
Pavarde1396         Vardas1396          2.6
Pavarde1398         Vardas1398          4.2
Pavarde1400         Vardas1400          3.2
Pavarde1408         Vardas1408          2.8
Pavarde1410         Vardas1410          4
Pavarde1415         Vardas1415          4.2
Pavarde1416         Vardas1416          2.6
Pavarde1422         Vardas1422          3.4
Pavarde1424         Vardas1424          4.2
Pavarde1426         Vardas1426          3.4
Pavarde1428         Vardas1428          4.2
Pavarde1429         Vardas1429          3.8
Pavarde1435         Vardas1435          2.2
Pavarde1446         Vardas1446          3.8
Pavarde1447         Vardas1447          3.2
Pavarde1449         Vardas1449          2.2
Pavarde1450         Vardas1450          4.8
Pavarde1452         Vardas1452          4.8
Pavarde1453         Vardas1453          2.2
Pavarde1454         Vardas1454          2.2
Pavarde1455         Vardas1455          4.2
Pavarde1456         Vardas1456          3.2
Pavarde1457         Vardas1457          2.2
Pavarde1458         Vardas1458          4.2
Pavarde1459         Vardas1459          3
Pavarde1461         Vardas1461          4
Pavarde1465         Vardas1465          3.6
Pavarde1468         Vardas1468          3.2
Pavarde1469         Vardas1469          3.2
Pavarde1470         Vardas1470          4
Pavarde1472         Vardas1472          3.6
Pavarde1473         Vardas1473          3.6
Pavarde1476         Vardas1476          2.2
Pavarde1478         Vardas1478          4.8
Pavarde1479         Vardas1479          2.6
Pavarde1481         Vardas1481          3.6
Pavarde1483         Vardas1483          4.2
Pavarde1485         Vardas1485          4.2
Pavarde1488         Vardas1488          2.6
Pavarde1490         Vardas1490          3.2
Pavarde1494         Vardas1494          4.6
Pavarde1498         Vardas1498          3.2
Pavarde1500         Vardas1500          2.8
Pavarde1502         Vardas1502          4.2
Pavarde1503         Vardas1503          4.4
Pavarde1505         Vardas1505          3.6
Pavarde1506         Vardas1506          3.4
Pavarde1507         Vardas1507          4.4
Pavarde1509         Vardas1509          2.6
Pavarde1511         Vardas1511          2.6
Pavarde1514         Vardas1514          3.6
Pavarde1517         Vardas1517          3.2
Pavarde1519         Vardas1519          3.8
Pavarde1521         Vardas1521          4.4
Pavarde1522         Vardas1522          3.8
Pavarde1524         Vardas1524          4.8
Pavarde1525         Vardas1525          3.2
Pavarde1527         Vardas1527          4.2
Pavarde1529         Vardas1529          3.2
Pavarde1530         Vardas1530          4.8
Pavarde1532         Vardas1532          2.2
Pavarde1534         Vardas1534          4.2
Pavarde1535         Vardas1535          2.2
Pavarde1536         Vardas1536          4
Pavarde1537         Vardas1537          3.2
Pavarde1543         Vardas1543          4
Pavarde1544         Vardas1544          3.2
Pavarde1548         Vardas1548          2.6
Pavarde1550         Vardas1550          4.8
Pavarde1553         Vardas1553          4
Pavarde1554         Vardas1554          4.4
Pavarde1555         Vardas1555          4.8
Pavarde1559         Vardas1559          2.6
Pavarde1561         Vardas1561          4.6
Pavarde1564         Vardas1564          2.6
Pavarde1572         Vardas1572          2.6
Pavarde1575         Vardas1575          3.2
Pavarde1576         Vardas1576          3.8
Pavarde1583         Vardas1583          2.8
Pavarde1585         Vardas1585          4.2
Pavarde1587         Vardas1587          2.6
Pavarde1589         Vardas1589          3
Pavarde1592         Vardas1592          2.6
Pavarde1594         Vardas1594          4.4
Pavarde1595         Vardas1595          2.6
Pavarde1596         Vardas1596          2.4
Pavarde1598         Vardas1598          4.4
Pavarde1602         Vardas1602          3.6
Pavarde1603         Vardas1603          3
Pavarde1604         Vardas1604          3
Pavarde1609         Vardas1609          3.6
Pavarde1613         Vardas1613          2.6
Pavarde1614         Vardas1614          3.8
Pavarde1615         Vardas1615          2.2
Pavarde1618         Vardas1618          2.8
Pavarde1622         Vardas1622          2.6
Pavarde1628         Vardas1628          1.8
Pavarde1629         Vardas1629          3.6
Pavarde1630         Vardas1630          3.6
Pavarde1633         Vardas1633          4.8
Pavarde1634         Vardas1634          4
Pavarde1635         Vardas1635          2.8
Pavarde1636         Vardas1636          4.8
Pavarde1638         Vardas1638          3.4
Pavarde1639         Vardas1639          3.8
Pavarde1646         Vardas1646          4.4
Pavarde1650         Vardas1650          4
Pavarde1654         Vardas1654          3
Pavarde1655         Vardas1655          2.6
Pavarde1664         Vardas1664          3.8
Pavarde1666         Vardas1666          3.6
Pavarde1667         Vardas1667          3
Pavarde1669         Vardas1669          3.6
Pavarde1674         Vardas1674          2.6
Pavarde1677         Vardas1677          3.8
Pavarde1678         Vardas1678          3.2
Pavarde1679         Vardas1679          2.8
Pavarde1681         Vardas1681          2.6
Pavarde1682         Vardas1682          2.8
Pavarde1688         Vardas1688          2.6
Pavarde1689         Vardas1689          4.4
Pavarde1693         Vardas1693          3.4
Pavarde1695         Vardas1695          3.2
Pavarde1696         Vardas1696          4
Pavarde1697         Vardas1697          3.2
Pavarde1699         Vardas1699          3.8
Pavarde1700         Vardas1700          3.4
Pavarde1702         Vardas1702          3.8
Pavarde1703         Vardas1703          2.6
Pavarde1704         Vardas1704          4
Pavarde1705         Vardas1705          1.8
Pavarde1707         Vardas1707          2.6
Pavarde1709         Vardas1709          4.2
Pavarde1712         Vardas1712          3.2
Pavarde1716         Vardas1716          4.4
Pavarde1719         Vardas1719          2.6
Pavarde1721         Vardas1721          4
Pavarde1722         Vardas1722          3.2
Pavarde1723         Vardas1723          3.2
Pavarde1728         Vardas1728          2.2
Pavarde1729         Vardas1729          2.6
Pavarde1731         Vardas1731          3.2
Pavarde1732         Vardas1732          3.6
Pavarde1740         Vardas1740          3
Pavarde1741         Vardas1741          4.8
Pavarde1742         Vardas1742          3.2
Pavarde1743         Vardas1743          4.8
Pavarde1744         Vardas1744          3
Pavarde1745         Vardas1745          3.2
Pavarde1748         Vardas1748          2.6
Pavarde1751         Vardas1751          4.8
Pavarde1755         Vardas1755          2.6
Pavarde1756         Vardas1756          4.2
Pavarde1757         Vardas1757          4
Pavarde1758         Vardas1758          4.4
Pavarde1761         Vardas1761          3.2
Pavarde1763         Vardas1763          3.6
Pavarde1768         Vardas1768          4.8
Pavarde1769         Vardas1769          3.2
Pavarde1770         Vardas1770          4.2
Pavarde1771         Vardas1771          3.6
Pavarde1775         Vardas1775          3.8
Pavarde1776         Vardas1776          4.6
Pavarde1778         Vardas1778          3.2
Pavarde1782         Vardas1782          2.8
Pavarde1787         Vardas1787          3.6
Pavarde1793         Vardas1793          4.4
Pavarde1796         Vardas1796          3.8
Pavarde1797         Vardas1797          3.6
Pavarde1798         Vardas1798          2.4
Pavarde1800         Vardas1800          2.2
Pavarde1801         Vardas1801          3.4
Pavarde1803         Vardas1803          2.6
Pavarde1809         Vardas1809          4.2
Pavarde1810         Vardas1810          3.8
Pavarde1814         Vardas1814          2.6
Pavarde1815         Vardas1815          2.4
Pavarde1817         Vardas1817          2.2
Pavarde1818         Vardas1818          2.8
Pavarde1821         Vardas1821          4.8
Pavarde1822         Vardas1822          4
Pavarde1823         Vardas1823          2.2
Pavarde1824         Vardas1824          3
Pavarde1826         Vardas1826          2.6
Pavarde1827         Vardas1827          3.8
Pavarde1829         Vardas1829          4.6
Pavarde1830         Vardas1830          3.8
Pavarde1831         Vardas1831          3.8
Pavarde1834         Vardas1834          3.2
Pavarde1836         Vardas1836          3
Pavarde1838         Vardas1838          3.4
Pavarde1843         Vardas1843          2.8
Pavarde1844         Vardas1844          2.6
Pavarde1845         Vardas1845          3.4
Pavarde1846         Vardas1846          3.6
Pavarde1848         Vardas1848          3
